Classifier/Model,Features,Repetitions,Accuracy,Variance,AccuracyList
LogisticRegression,all,2,0.694945,1.4e-05,"[0.6986986986986987, 0.6911911911911912]"
MLPClassifier,all,2,0.819069,2.3e-05,"[0.8238238238238238, 0.8143143143143143]"
RandomForestClassifier,all,2,0.79955,1.8e-05,"[0.7952952952952953, 0.8038038038038038]"
SupportVectorMachine(linear),all,2,0.72047,1.4e-05,"[0.7242242242242243, 0.7167167167167167]"
SupportVectorMachine(poly),all,2,0.773023,1e-06,"[0.7737737737737738, 0.7722722722722722]"
SupportVectorMachine(rbf),all,2,0.808058,2e-06,"[0.8093093093093093, 0.8068068068068068]"
SupportVectorMachine(sigmoid),all,2,0.462462,1.2e-05,"[0.45895895895895894, 0.46596596596596596]"
LogisticRegression,chroma_stft,2,0.343844,3.6e-05,"[0.34984984984984985, 0.33783783783783783]"
MLPClassifier,chroma_stft,2,0.352102,0.000189,"[0.3383383383383383, 0.3658658658658659]"
RandomForestClassifier,chroma_stft,2,0.304304,4e-06,"[0.3063063063063063, 0.3023023023023023]"
SupportVectorMachine(linear),chroma_stft,2,0.348599,5e-06,"[0.34634634634634637, 0.3508508508508508]"
SupportVectorMachine(poly),chroma_stft,2,0.274525,3e-06,"[0.27627627627627627, 0.2727727727727728]"
SupportVectorMachine(rbf),chroma_stft,2,0.354605,6.8e-05,"[0.34634634634634637, 0.36286286286286284]"
SupportVectorMachine(sigmoid),chroma_stft,2,0.185435,0.000138,"[0.1971971971971972, 0.17367367367367367]"
LogisticRegression,spectral_centroid,2,0.341592,3.3e-05,"[0.3358358358358358, 0.34734734734734735]"
MLPClassifier,spectral_centroid,2,0.361361,3e-05,"[0.35585585585585583, 0.36686686686686687]"
RandomForestClassifier,spectral_centroid,2,0.31006,8e-06,"[0.3128128128128128, 0.3073073073073073]"
SupportVectorMachine(linear),spectral_centroid,2,0.33959,1.1e-05,"[0.33633633633633636, 0.34284284284284283]"
SupportVectorMachine(poly),spectral_centroid,2,0.285035,0.000127,"[0.2962962962962963, 0.27377377377377377]"
SupportVectorMachine(rbf),spectral_centroid,2,0.354354,4.9e-05,"[0.34734734734734735, 0.3613613613613614]"
SupportVectorMachine(sigmoid),spectral_centroid,2,0.203453,1e-06,"[0.20270270270270271, 0.2042042042042042]"
LogisticRegression,zero_crossing_rate,2,0.285786,0.0,"[0.2852852852852853, 0.2862862862862863]"
MLPClassifier,zero_crossing_rate,2,0.321822,2e-06,"[0.3233233233233233, 0.3203203203203203]"
RandomForestClassifier,zero_crossing_rate,2,0.275275,0.0,"[0.2752752752752753, 0.2752752752752753]"
SupportVectorMachine(linear),zero_crossing_rate,2,0.284785,1.2e-05,"[0.28128128128128127, 0.2882882882882883]"
SupportVectorMachine(poly),zero_crossing_rate,2,0.236987,0.000431,"[0.2577577577577578, 0.21621621621621623]"
SupportVectorMachine(rbf),zero_crossing_rate,2,0.322322,0.0,"[0.32182182182182184, 0.3228228228228228]"
SupportVectorMachine(sigmoid),zero_crossing_rate,2,0.172172,0.000183,"[0.15865865865865866, 0.1856856856856857]"
LogisticRegression,mfcc,2,0.642643,2.5e-05,"[0.6476476476476476, 0.6376376376376376]"
MLPClassifier,mfcc,2,0.798799,7.2e-05,"[0.7902902902902903, 0.8073073073073073]"
RandomForestClassifier,mfcc,2,0.801802,6.4e-05,"[0.7937937937937938, 0.8098098098098098]"
SupportVectorMachine(linear),mfcc,2,0.665165,5.6e-05,"[0.6726726726726727, 0.6576576576576577]"
SupportVectorMachine(poly),mfcc,2,0.753003,3.9e-05,"[0.7592592592592593, 0.7467467467467468]"
SupportVectorMachine(rbf),mfcc,2,0.786286,1e-06,"[0.7872872872872873, 0.7852852852852853]"
SupportVectorMachine(sigmoid),mfcc,2,0.444444,9e-06,"[0.44144144144144143, 0.44744744744744747]"
LogisticRegression,all_incl._chords,2,0.715215,9e-06,"[0.7122122122122122, 0.7182182182182182]"
MLPClassifier,all_incl._chords,2,0.812563,9.5e-05,"[0.8028028028028028, 0.8223223223223223]"
RandomForestClassifier,all_incl._chords,2,0.792793,0.000157,"[0.7802802802802803, 0.8053053053053053]"
SupportVectorMachine(linear),all_incl._chords,2,0.736486,1.1e-05,"[0.7397397397397397, 0.7332332332332332]"
SupportVectorMachine(poly),all_incl._chords,2,0.614865,0.000203,"[0.6006006006006006, 0.6291291291291291]"
SupportVectorMachine(rbf),all_incl._chords,2,0.783534,6.8e-05,"[0.7752752752752753, 0.7917917917917918]"
SupportVectorMachine(sigmoid),all_incl._chords,2,0.492993,0.000325,"[0.474974974974975, 0.511011011011011]"
LogisticRegression,chords,2,0.417417,0.000144,"[0.40540540540540543, 0.4294294294294294]"
MLPClassifier,chords,2,0.512513,5.6e-05,"[0.505005005005005, 0.52002002002002]"
RandomForestClassifier,chords,2,0.509259,0.000138,"[0.4974974974974975, 0.521021021021021]"
SupportVectorMachine(linear),chords,2,0.42993,0.000257,"[0.4139139139139139, 0.44594594594594594]"
SupportVectorMachine(poly),chords,2,0.348348,2e-05,"[0.34384384384384387, 0.35285285285285284]"
SupportVectorMachine(rbf),chords,2,0.497998,0.000343,"[0.4794794794794795, 0.5165165165165165]"
SupportVectorMachine(sigmoid),chords,2,0.195946,2e-06,"[0.1971971971971972, 0.1946946946946947]"
