Classifier/Model,Features,Repetitions,Accuracy,Variance,AccuracyList
LogisticRegression,all,25,0.7026,0.000668,"[0.71, 0.705, 0.715, 0.705, 0.74, 0.745, 0.735, 0.665, 0.735, 0.705, 0.69, 0.695, 0.71, 0.74, 0.705, 0.735, 0.69, 0.66, 0.715, 0.665, 0.67, 0.68, 0.695, 0.695, 0.66]"
MLPClassifier,all,25,0.7206,0.000505,"[0.725, 0.71, 0.675, 0.72, 0.77, 0.73, 0.745, 0.705, 0.745, 0.7, 0.75, 0.71, 0.705, 0.755, 0.71, 0.735, 0.73, 0.69, 0.74, 0.7, 0.73, 0.72, 0.7, 0.725, 0.69]"
RandomForestClassifier,all,25,0.6762,0.001297,"[0.68, 0.67, 0.69, 0.7, 0.7, 0.66, 0.72, 0.66, 0.67, 0.645, 0.68, 0.63, 0.595, 0.77, 0.675, 0.715, 0.7, 0.705, 0.665, 0.64, 0.64, 0.69, 0.645, 0.72, 0.64]"
SupportVectorMachine(linear),all,25,0.6864,0.000939,"[0.71, 0.705, 0.665, 0.685, 0.665, 0.7, 0.73, 0.675, 0.72, 0.685, 0.695, 0.605, 0.655, 0.7, 0.675, 0.735, 0.705, 0.655, 0.725, 0.645, 0.72, 0.67, 0.675, 0.71, 0.65]"
SupportVectorMachine(poly),all,25,0.5948,0.001215,"[0.63, 0.585, 0.605, 0.575, 0.63, 0.605, 0.6, 0.625, 0.67, 0.59, 0.615, 0.56, 0.505, 0.615, 0.61, 0.61, 0.535, 0.545, 0.585, 0.545, 0.6, 0.595, 0.6, 0.605, 0.63]"
SupportVectorMachine(rbf),all,25,0.6858,0.001109,"[0.645, 0.695, 0.635, 0.665, 0.67, 0.69, 0.77, 0.69, 0.695, 0.685, 0.685, 0.685, 0.65, 0.775, 0.725, 0.69, 0.64, 0.67, 0.71, 0.67, 0.67, 0.68, 0.685, 0.71, 0.66]"
SupportVectorMachine(sigmoid),all,25,0.5404,0.000562,"[0.515, 0.515, 0.5, 0.535, 0.57, 0.545, 0.57, 0.545, 0.545, 0.535, 0.525, 0.53, 0.515, 0.545, 0.535, 0.54, 0.53, 0.54, 0.585, 0.57, 0.545, 0.515, 0.6, 0.55, 0.51]"
LogisticRegression,chroma_stft,25,0.3894,0.000743,"[0.34, 0.385, 0.38, 0.375, 0.4, 0.375, 0.45, 0.34, 0.37, 0.395, 0.36, 0.435, 0.36, 0.38, 0.41, 0.365, 0.375, 0.44, 0.4, 0.385, 0.4, 0.405, 0.4, 0.415, 0.395]"
MLPClassifier,chroma_stft,25,0.4144,0.000801,"[0.43, 0.415, 0.425, 0.39, 0.43, 0.435, 0.445, 0.345, 0.395, 0.4, 0.355, 0.43, 0.38, 0.415, 0.425, 0.38, 0.42, 0.44, 0.445, 0.385, 0.42, 0.42, 0.445, 0.46, 0.43]"
RandomForestClassifier,chroma_stft,25,0.385,0.000804,"[0.41, 0.365, 0.38, 0.37, 0.38, 0.36, 0.41, 0.3, 0.38, 0.43, 0.37, 0.355, 0.37, 0.385, 0.4, 0.36, 0.385, 0.395, 0.45, 0.385, 0.41, 0.385, 0.41, 0.375, 0.405]"
