Classifier/Model,Features,Repetitions,Accuracy,Variance,AccuracyList
MLP_for_all_stds,all_stds,5,0.814114,0.000101,"[0.8003003003003003, 0.8233233233233234, 0.8058058058058059, 0.8268268268268268, 0.8143143143143143]"
MLP_for_all_mms,all_mms,5,0.802402,0.000154,"[0.7897897897897898, 0.8043043043043043, 0.8038038038038038, 0.8238238238238238, 0.7902902902902903]"
MLP_for_chro_stds,chro_stds,5,0.348949,0.000158,"[0.3408408408408408, 0.36786786786786785, 0.34234234234234234, 0.35935935935935936, 0.33433433433433435]"
MLP_for_chro_mms,chro_mms,5,0.347748,0.00016,"[0.34184184184184185, 0.36536536536536535, 0.33933933933933935, 0.35985985985985985, 0.33233233233233234]"
MLP_for_spec_stds,spec_stds,5,0.365465,5.9e-05,"[0.35535535535535534, 0.36686686686686687, 0.37787787787787785, 0.36736736736736736, 0.35985985985985985]"
MLP_for_spec_mms,spec_mms,5,0.361461,8e-05,"[0.3533533533533533, 0.3688688688688689, 0.37537537537537535, 0.35485485485485485, 0.35485485485485485]"
MLP_for_zero_stds,zero_stds,5,0.32973,7.1e-05,"[0.3213213213213213, 0.32732732732732733, 0.34284284284284283, 0.3358358358358358, 0.3213213213213213]"
MLP_for_zero_mms,zero_mms,5,0.327427,4.2e-05,"[0.32232232232232233, 0.3283283283283283, 0.33633633633633636, 0.33183183183183185, 0.3183183183183183]"
MLP_for_mfcc_stds,mfcc_stds,5,0.801401,7.8e-05,"[0.7932932932932933, 0.8093093093093093, 0.8138138138138138, 0.7992992992992993, 0.7912912912912913]"
MLP_for_mfcc_mms,mfcc_mms,5,0.743443,2.7e-05,"[0.7422422422422422, 0.7357357357357357, 0.7517517517517518, 0.7422422422422422, 0.7452452452452453]"
MLP_for_chords_stds,chords_stds,5,0.496797,0.000284,"[0.4914914914914915, 0.509009009009009, 0.517017017017017, 0.4984984984984985, 0.46796796796796797]"
MLP_for_chords_mms,chords_mms,5,0.506106,0.000388,"[0.488988988988989, 0.5430430430430431, 0.4954954954954955, 0.5095095095095095, 0.4934934934934935]"
MLP_for_all_except_chords_stds,all_except_chords_stds,5,0.829329,1.8e-05,"[0.8228228228228228, 0.8308308308308309, 0.8358358358358359, 0.8283283283283284, 0.8288288288288288]"
MLP_for_all_except_chords_mms,all_except_chords_mms,5,0.795295,7.7e-05,"[0.7912912912912913, 0.8048048048048048, 0.7837837837837838, 0.8063063063063063, 0.7902902902902903]"
