Classifier/Model,Features,Repetitions,Accuracy,Variance,AccuracyList
MLP_for_all_stds,all_stds,25,0.6766,0.001169,"[0.69, 0.705, 0.59, 0.7, 0.67, 0.695, 0.69, 0.695, 0.755, 0.63, 0.69, 0.715, 0.625, 0.715, 0.695, 0.67, 0.685, 0.62, 0.67, 0.665, 0.655, 0.685, 0.685, 0.67, 0.65]"
MLP_for_all_mms,all_mms,25,0.6834,0.001219,"[0.655, 0.715, 0.65, 0.705, 0.685, 0.71, 0.745, 0.71, 0.745, 0.635, 0.69, 0.7, 0.625, 0.665, 0.685, 0.7, 0.725, 0.615, 0.65, 0.695, 0.64, 0.67, 0.72, 0.685, 0.665]"
MLP_for_all_except_chords_stds,all_except_chords_stds,25,0.7156,0.000467,"[0.7, 0.73, 0.68, 0.735, 0.73, 0.71, 0.745, 0.705, 0.71, 0.715, 0.75, 0.7, 0.685, 0.755, 0.725, 0.745, 0.72, 0.685, 0.74, 0.71, 0.72, 0.69, 0.7, 0.72, 0.685]"
MLP_for_all_except_chords_mms,all_except_chords_mms,25,0.7242,0.000553,"[0.73, 0.75, 0.71, 0.7, 0.76, 0.71, 0.76, 0.72, 0.735, 0.69, 0.745, 0.745, 0.675, 0.765, 0.73, 0.735, 0.71, 0.71, 0.735, 0.705, 0.735, 0.73, 0.69, 0.735, 0.695]"
MLP_for_chro_stds,chro_stds,25,0.4106,0.000889,"[0.445, 0.41, 0.42, 0.38, 0.44, 0.435, 0.44, 0.34, 0.39, 0.42, 0.36, 0.425, 0.36, 0.385, 0.415, 0.39, 0.43, 0.45, 0.415, 0.385, 0.425, 0.435, 0.43, 0.45, 0.39]"
MLP_for_chro_mms,chro_mms,25,0.4206,0.000969,"[0.425, 0.43, 0.445, 0.415, 0.455, 0.415, 0.45, 0.355, 0.37, 0.395, 0.37, 0.445, 0.38, 0.415, 0.415, 0.41, 0.425, 0.455, 0.495, 0.395, 0.41, 0.445, 0.435, 0.445, 0.42]"
MLP_for_spec_stds,spec_stds,25,0.3694,0.000761,"[0.395, 0.355, 0.35, 0.345, 0.425, 0.355, 0.415, 0.345, 0.385, 0.335, 0.35, 0.34, 0.32, 0.4, 0.385, 0.415, 0.345, 0.385, 0.37, 0.34, 0.375, 0.395, 0.355, 0.385, 0.37]"
MLP_for_spec_mms,spec_mms,25,0.3548,0.000871,"[0.365, 0.39, 0.3, 0.335, 0.395, 0.385, 0.395, 0.355, 0.36, 0.36, 0.375, 0.335, 0.325, 0.31, 0.375, 0.38, 0.34, 0.305, 0.32, 0.345, 0.375, 0.33, 0.35, 0.41, 0.355]"
MLP_for_zero_stds,zero_stds,25,0.358,0.000788,"[0.36, 0.365, 0.325, 0.355, 0.39, 0.355, 0.41, 0.29, 0.365, 0.335, 0.33, 0.315, 0.33, 0.4, 0.375, 0.385, 0.35, 0.4, 0.355, 0.36, 0.37, 0.345, 0.39, 0.345, 0.35]"
MLP_for_zero_mms,zero_mms,25,0.3512,0.000777,"[0.355, 0.355, 0.325, 0.335, 0.385, 0.36, 0.4, 0.295, 0.355, 0.32, 0.315, 0.3, 0.32, 0.39, 0.365, 0.37, 0.375, 0.38, 0.355, 0.365, 0.35, 0.35, 0.385, 0.32, 0.355]"
MLP_for_mfcc_stds,mfcc_stds,25,0.693,0.001394,"[0.67, 0.715, 0.665, 0.645, 0.74, 0.71, 0.755, 0.705, 0.735, 0.675, 0.73, 0.655, 0.655, 0.715, 0.715, 0.7, 0.71, 0.625, 0.755, 0.69, 0.7, 0.69, 0.65, 0.705, 0.615]"
MLP_for_mfcc_mms,mfcc_mms,25,0.6938,0.000955,"[0.715, 0.695, 0.69, 0.63, 0.725, 0.72, 0.74, 0.7, 0.71, 0.68, 0.705, 0.665, 0.635, 0.705, 0.72, 0.725, 0.665, 0.65, 0.7, 0.69, 0.735, 0.735, 0.655, 0.695, 0.66]"
MLP_for_chords_stds,chords_stds,25,0.4816,0.001429,"[0.51, 0.46, 0.405, 0.45, 0.48, 0.515, 0.46, 0.51, 0.44, 0.475, 0.445, 0.5, 0.425, 0.565, 0.535, 0.495, 0.51, 0.455, 0.485, 0.43, 0.5, 0.54, 0.465, 0.5, 0.485]"
MLP_for_chords_mms,chords_mms,25,0.488,0.001544,"[0.525, 0.475, 0.4, 0.49, 0.485, 0.53, 0.505, 0.52, 0.44, 0.46, 0.495, 0.455, 0.445, 0.545, 0.505, 0.465, 0.525, 0.445, 0.555, 0.46, 0.435, 0.515, 0.53, 0.53, 0.465]"
